Date,P1 : ]0 - 3] kW,P2 : ]3 - 9] kW,P3 : ]9 - 100] kW,P4 : ]100 - 250] kW,P5 : ]250 - 1000] kW,P6 : ]1000 - 12000] kW,P7 : > 12000 kW
20180427,4660644956.0,1832850547.0,6995716803.0,6671686976.0,7027762837.0,118419275357.0,13825406101.0
20180428,3719800392.0,1286668767.0,5014279063.0,5222193151.0,6642602143.0,82508160843.0,10163808430.0
20180429,3088182163.0,843214051.0,3362540999.0,4009850508.0,6109725426.0,91832982206.0,9738544133.0
20180430,3842660877.0,1252771982.0,4886586906.0,5163003901.0,6802506418.0,163408883126.0,23080403457.0
20180501,4177727609.0,1514792712.0,5607194018.0,5500621891.0,6842757054.0,75966027089.0,8014606230.0
20180502,4440774000.0,1690044965.0,6190669594.0,5973173078.0,7100985240.0,106654409482.0,10363026739.0
20180503,4324375593.0,1550378037.0,5697167393.0,5557019312.0,6743685197.0,86794547477.0,9617084989.0
20180504,5095033335.0,2024670239.0,7307836508.0,6613415309.0,6699927025.0,114304889771.0,14501237946.0
20180505,5191059295.0,2149190609.0,7745214209.0,6915119995.0,6790068207.0,105700126308.0,12814580622.0
20180506,5180975722.0,2240767891.0,8054477753.0,7124633633.0,6768878518.0,77528621299.0,8670063229.0
20180507,5156536752.0,2267622738.0,8118746315.0,7172019707.0,6667687281.0,65842387488.0,7738419740.0
20180508,4724600570.0,1979005691.0,7120898306.0,6463841443.0,6205419203.0,65215449857.0,6219073839.0
20180509,4568638345.0,1787852931.0,6455383087.0,6008318043.0,6434062808.0,77791115443.0,8245326784.0
20180510,4079061718.0,1512969897.0,5563256924.0,5481732545.0,6662519954.0,93617448026.0,9790032005.0
20180511,5124203416.0,2256330300.0,8115382200.0,7248862820.0,7004898768.0,72064737322.0,6224361404.0
20180512,3370322315.0,1146386079.0,4264293065.0,4551923728.0,6209110273.0,65065539488.0,7626844240.0
20180513,3492492140.0,1148198326.0,4278003658.0,4563896630.0,6349742433.0,86845979693.0,9908970503.0
20180514,3603844662.0,1188587988.0,4374379848.0,4679938140.0,6669180133.0,124912108867.0,14455453332.0
20180515,4347810329.0,1718510852.0,6225836734.0,5950043853.0,7025631789.0,92479389864.0,8987767158.0
20180516,4524796730.0,1796919828.0,6537223513.0,6190902932.0,7274674135.0,106920570713.0,9723784415.0
20180517,4533210305.0,1792900732.0,6539508806.0,6232762894.0,7455475145.0,105033298482.0,11281531035.0
20180518,5345882591.0,2312189042.0,8327503532.0,7476921570.0,7746177045.0,81102893796.0,8426028023.0
20180519,5364508481.0,2311542473.0,8306386819.0,7452921445.0,7649322027.0,79844135657.0,8534854535.0
20180520,5399378247.0,2366037313.0,8493004960.0,7521047868.0,7587718446.0,77136225642.0,8166328278.0
20180521,4699102516.0,1992055794.0,7215746921.0,6639972858.0,7306794098.0,62012808785.0,5778745334.0
20180522,4451762875.0,1836365125.0,6680405346.0,6246431996.0,7139984259.0,55013665221.0,4996030569.0
20180523,4709750730.0,1970200990.0,7139587046.0,6573250634.0,7395179551.0,62267633055.0,5460391182.0
20180524,4813814412.0,2028335660.0,7342500296.0,6740084440.0,7342671181.0,49293490055.0,4342443905.0
20180525,4419758809.0,1779800305.0,6475718098.0,6118003195.0,7115481300.0,55513437413.0,5319869413.0
20180526,4489376973.0,1749871800.0,6380606295.0,6129472354.0,6855484729.0,91368741128.0,9202334817.0
20180527,3847111727.0,1458321891.0,5356154329.0,5231560666.0,6318770016.0,66116631512.0,6781371333.0
20180528,3427191490.0,1244094302.0,4579237195.0,4643569354.0,5996956118.0,48280830330.0,4870327055.0
20180529,3741871788.0,1416817703.0,5225649603.0,5203639157.0,6904992698.0,52878697470.0,4456706881.0
20180530,3608980043.0,1316003789.0,4877943258.0,4941273405.0,6600430200.0,46473206383.0,4350820515.0
20180531,3726489603.0,1351580712.0,5028441169.0,5161355597.0,6947214365.0,51292376706.0,4842756151.0
20180601,4345170922.0,1712098400.0,6661669460.0,6501803014.0,7458094785.0,57705961264.0,5252077949.0
20180602,4568053230.0,1868347964.0,7250657545.0,6863456517.0,7336245091.0,51561501470.0,4390903877.0
20180603,4020084862.0,1555686454.0,6068468491.0,5993565034.0,6791744763.0,61658287526.0,5920183733.0
20180604,3844203754.0,1444446266.0,5668955985.0,5703273695.0,6971935446.0,63317181350.0,5898417265.0
20180605,3540599734.0,1230713815.0,4885921126.0,5290770083.0,6902380905.0,67133968372.0,7060793490.0
20180606,3568234633.0,1263674613.0,4992009471.0,5216123767.0,6869159583.0,58957244623.0,5525770252.0
20180607,3763338769.0,1377433305.0,5431735905.0,5573198969.0,7029902182.0,44789096832.0,3797297067.0
20180608,4379086909.0,1741985686.0,6807378309.0,6588934607.0,7617891488.0,53018545741.0,4575196707.0
